1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
10,11
11,12
12,13
13,14
13,15
13,16
14,17
15,18
16,19
17,20
18,21
19,22
20,23
21,24
22,25
23,26
24,27
25,28
26,29
27,30
28,31
29,32
30,33
31,34
32,35
33,36
34,37
35,38
36,39
37,40
38,41
38,42
39,43
39,44
40,45
41,46
41,47
42,48
43,49
44,50
45,51
46,52
47,53
48,54
49,55
50,56
51,57
52,58
53,59
54,60
55,61
56,62
57,63
58,64
59,65
59,66
59,67
59,68
59,69
60,70
61,71
62,72
63,73
64,74
65,75
66,76
67,77
67,78
68,79
69,80
70,81
71,82
72,83
73,84
74,85
75,86
75,87
75,88
76,89
77,90
78,91
79,92
80,93
81,94
82,95
83,96
84,97
85,98
86,99
87,100
88,101
89,102
90,103
91,104
92,105
93,106
94,107
95,108
96,109
97,110
98,111
99,112
100,113
101,114
102,115
103,116
104,117
105,118
106,119
107,120
108,121
109,122
110,123
111,124
112,125
113,126
114,127
115,128
116,129
117,130
118,131
119,132
120,133
121,134
122,135
123,136
124,137
125,138
126,139
127,140
128,141
129,142
130,143
131,144
132,145
133,146
134,147
135,148
136,149
137,150
138,151
138,152
139,153
140,154
141,155
142,156
143,157
144,158
145,159
146,160
146,161
147,162
148,163
148,164
148,165
148,166
149,167
149,168
149,169
149,170
150,171
151,172
151,173
152,174
153,175
154,176
155,177
156,178
157,179
158,180
158,181
159,182
160,183
161,184
162,185
162,186
163,187
164,188
165,189
166,190
167,191
168,192
169,193
170,194
171,195
172,196
173,197
174,198
175,199
175,200
176,201
177,202
178,203
179,204
180,205
181,206
182,207
183,208
183,209
184,210
185,211
186,212
187,213
188,214
189,215
189,216
190,217
190,218
190,219
191,220
191,221
192,222
193,223
194,224
195,225
196,226
197,227
198,228
199,229
200,230
201,231
202,232
202,233
202,234
203,235
204,236
205,237
206,238
207,239
208,240
209,241
210,242
211,243
212,244
213,245
214,246
215,247
216,248
217,249
218,250
219,251
220,252
221,253
222,254
222,255
222,256
223,257
224,258
225,259
226,260
227,261
228,262
229,263
230,264
231,265
231,266
231,267
231,268
232,269
233,270
234,271
235,272
235,273
236,274
237,275
238,276
239,277
240,278
241,279
242,280
242,281
242,282
243,283
244,284
244,285
244,286
244,287
244,288
244,289
245,290
246,291
247,292
248,293
249,294
250,295
251,296
252,297
253,298
254,299
255,300
